Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;
1216;0;7;0;0;2;1;1;B02;
1216;0;7;0;0;0;2;15;A01;
1217;0;2;0;0;2;1;1;A01;
1217;0;7;0;0;2;1;15;B02;
1218;0;7;0;0;2;3;13;A01;
1218;0;7;0;0;2;6;1;C03;
1218;0;15;0;0;2;2;1;B02;
1219;0;7;0;0;0;1;12;A01;
1220;0;33;0;2;0;0;17;A01;
1221;0;7;0;0;2;1;1;B02;
1221;0;31;0;0;2;1;13;A01;
1222;0;2;0;0;2;7;17;A01;
1222;0;21;0;0;2;8;15;B02;
1223;0;7;0;0;9;2;15;A01;
1223;0;1;0;0;2;1;1;B02;
1224;0;1;0;0;2;7;19;B02;
1224;0;7;0;0;9;1;1;A01;
1225;0;7;0;0;1;2;15;A01;
1226;0;33;0;15;0;0;1;A01;
1227;0;7;0;0;1;1;15;A01;
1228;0;7;0;0;2;8;15;B02;
1228;0;2;0;0;2;1;17;A01;
1229;0;7;0;0;0;4;2;C03;
1229;0;7;0;0;0;4;2;B02;
1229;0;7;0;0;0;1;2;A01;
1230;2;7;0;13;0;1;1;A01;
1231;0;2;0;0;0;0;0;B02;
1231;0;7;0;0;0;0;0;A01;
1232;0;7;0;13;0;1;14;A01;
1233;0;30;0;12;0;2;1;A01;
1234;0;7;0;0;2;2;1;B02;
1234;0;33;0;0;2;1;13;A01;
1235;0;7;0;0;2;1;1;B02;
1235;0;7;0;0;2;1;17;A01;
1235;0;10;0;0;2;1;23;C03;
1236;0;10;0;0;0;1;1;B02;
1236;0;30;0;14;0;1;1;A01;
1237;0;30;0;0;2;1;16;A01;
1237;0;7;0;0;2;3;1;B02;
1238;0;7;0;0;2;3;1;A01;
1238;0;31;0;0;0;8;0;B02;
1239;0;7;0;0;1;6;20;A01;
1240;0;7;0;0;1;2;1;A01;
1241;0;30;0;0;2;2;1;B02;
1241;0;7;0;0;2;8;9;A01;
1242;0;33;0;13;0;2;1;A01;
1243;0;10;0;0;2;1;1;B02;
1243;0;30;0;0;2;1;13;A01;
1244;0;7;0;0;2;2;19;A01;
1244;0;13;0;0;2;1;1;B02;
1245;0;7;0;0;1;3;1;A01;
1246;0;7;0;0;2;2;1;B02;
1246;0;7;0;0;2;1;15;A01;
1247;0;7;0;13;0;3;1;A01;
1248;0;7;0;0;2;1;1;B02;
1248;0;1;0;0;2;4;1;A01;
1249;0;10;0;0;0;0;23;B02;
1249;0;33;0;0;0;0;1;A01;
1250;0;7;0;0;2;1;2;A01;
1250;0;7;0;0;2;4;2;B02;
1251;0;30;0;0;0;3;1;A01;
1252;0;7;0;0;2;3;1;A01;
1252;0;2;0;0;2;8;1;B02;
1253;0;15;0;6;0;8;1;A01;
1254;0;7;0;0;2;1;1;B02;
1254;0;7;0;0;2;1;1;A01;
1255;0;7;0;2;0;1;1;A01;
1256;0;7;0;13;0;2;1;A01;
1257;0;7;0;2;0;2;1;A01;
1258;0;30;0;0;2;7;1;A01;
1258;0;7;0;0;2;1;19;B02;
1259;0;7;0;0;2;3;16;B02;
1259;0;14;0;0;2;2;1;A01;
1260;0;7;0;0;1;3;1;A01;
1261;0;30;0;0;2;7;19;B02;
1261;0;7;0;0;2;1;1;A01;
1262;0;7;0;13;2;1;1;A01;
1262;0;7;0;14;0;7;21;B02;
1263;0;7;0;0;1;7;1;A01;
1264;0;14;0;2;0;2;1;A01;
1265;0;30;0;0;2;1;5;A01;
1265;0;7;0;0;2;2;1;B02;
1266;0;7;0;0;2;4;2;B02;
1266;0;33;0;0;2;1;2;A01;
1267;0;7;0;0;0;3;1;A01;
1268;0;7;0;7;0;1;16;A01;
1269;0;7;0;0;2;1;13;A01;
1269;0;10;0;0;2;1;1;B02;
1270;0;7;0;13;0;9;1;A01;
1271;0;7;0;0;0;2;1;A01;
1272;0;7;0;0;2;3;1;B02;
1272;0;2;0;0;2;1;5;A01;
1273;0;7;0;8;0;7;1;A01;
1274;0;7;0;0;2;1;1;B02;
1274;0;7;0;0;2;1;13;A01;
1275;0;7;0;13;0;2;1;A01;
1276;0;14;0;0;0;0;1;A01;
1276;0;7;0;0;2;8;13;B02;
1276;0;33;0;0;2;8;1;C03;
1277;0;7;0;0;2;1;1;B02;
1277;0;15;0;0;2;1;13;A01;
1278;0;7;0;13;0;2;1;A01;
1279;0;7;0;0;2;1;2;A01;
1279;0;10;0;0;2;4;2;B02;
1280;0;7;0;0;2;3;13;A01;
1280;0;10;0;0;2;3;1;B02;
1281;0;7;0;0;2;1;1;B02;
1281;0;7;0;0;2;1;17;A01;
1282;1;17;0;0;1;1;1;A01;
1283;0;7;0;2;0;1;1;A01;
1284;0;7;0;0;1;7;1;A01;
1285;0;7;0;0;2;3;9;A01;
1285;0;33;0;0;2;1;1;B02;
1286;0;33;0;0;0;2;1;A01;
1287;0;10;0;2;0;1;1;A01;
1288;0;33;0;0;2;3;1;A01;
